Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Institut per al Desenvolupament i la Promoció de l'Alt Pirineu i AranMembre determinat pel Govern en representació de la GeneralitatDelegada territorial del Govern de la Generalitat a l'Alt Pirineu i Aran;Institut per al Desenvolupament i la Promoció de l'Alt Pirineu i Aran;TER - Departament de Territori, Habitatge i Transició Ecològica;Membre determinat pel Govern en representació de la Generalitat;Membre;Delegada territorial del Govern de la Generalitat a l'Alt Pirineu i Aran;delegada territorial del Govern a l'Alt Pirineu i Aran;15433;Govern de la Generalitat de Catalunya;Delegació Territorial del Govern a l'Alt Pirineu i Aran;Sílvia Romero Galera;
Agència Catalana del Patrimoni CulturalVocals en representació de diversos departaments de la GeneralitatDirectora general d'Innovació, Digitalització i Currículum;Agència Catalana del Patrimoni Cultural;CLT - Departament de Cultura;Vocals en representació de diversos departaments de la Generalitat;Membre;Directora general d'Innovació, Digitalització i Currículum;directora general de Currículum i Desenvolupament Professional;20884;Conseller/a de Cultura;Direcció General de Currículum i Desenvolupament Professional;Sonia Fernández Cuenca;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretària general del Departament d’Igualtat i Feminisme;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretària general del Departament d’Igualtat i Feminisme;Secretària general del Departament d'Igualtat i Feminisme;21649;Govern de la Generalitat de Catalunya;Secretaria General d'Igualtat i Feminisme;Sònia Guerra López;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la unitat direct compet en afers consultius i coord jurídica del Gabinet JurídicDirectora general de Serveis Consultius i Coordinació Jurídica del Gabinet Jurídic;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la unitat direct compet en afers consultius i coord jurídica del Gabinet Jurídic;Vocal;Directora general de Serveis Consultius i Coordinació Jurídica del Gabinet Jurídic;Directora general de Serveis Consultius i Coordinació Jurídica;12768;;Direcció General de Serveis Consultius i Coordinació Jurídica;Susana Marín Dios;
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)Membre desginat pel titular del departament de la Generalitat competent en matèria de recercaDirectora general de Recerca del Departament de Recerca i Universitats de la Generalitat de Cataluny;Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR);SLT - Departament de Salut;Membre desginat pel titular del departament de la Generalitat competent en matèria de recerca;Vocal;Directora general de Recerca del Departament de Recerca i Universitats de la Generalitat de Cataluny;Directora general de Recerca;139;;Direcció General de Recerca;Teresa Sanchis Estruch;
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitatsDirectora general de Recerca del Departament de Recerca i Universitats;Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR);REU - Departament de Recerca i Universitats;Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitats;Vocal;Directora general de Recerca del Departament de Recerca i Universitats;Directora general de Recerca;139;Govern de la Generalitat de Catalunya;Direcció General de Recerca;Teresa Sanchis Estruch;
Agència de Ciberseguretat de CatalunyaEl/la vicepresident/a segon/a, que és el secretari/ària del dept competent en mat. de. seguretat púbSecretari general del Departament d'Interior i Seguretat Pública;Agència de Ciberseguretat de Catalunya;PRE - Departament de la Presidència;El/la vicepresident/a segon/a, que és el secretari/ària del dept competent en mat. de. seguretat púb;Vicepresident/a segon;Secretari general del Departament d'Interior i Seguretat Pública;secretari general d'Interior i Seguretat Pública;15650;;Secretaria General d'Interior i Seguretat Pública;Tomás Carrión Bernal;
Institut de Seguretat Pública de CatalunyaSecretari o secretària competent en matèria de seguretat ciutadanaSecretari general del Departament d'Interior i Seguretat Pública;Institut de Seguretat Pública de Catalunya;ISP - Departament d'Interior i Seguretat Pública;Secretari o secretària competent en matèria de seguretat ciutadana;Vicepresident/a primer;Secretari general del Departament d'Interior i Seguretat Pública;secretari general d'Interior i Seguretat Pública;15650;;Secretaria General d'Interior i Seguretat Pública;Tomás Carrión Bernal;
Centre d'Atenció i Gestió de Trucades d'Urgència 112 CatalunyaEl secretari/ària general del departament competent en matèria de seguretat públicaSecretari general del Departament d'Interior i Seguretat Pública;Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya;ISP - Departament d'Interior i Seguretat Pública;El secretari/ària general del departament competent en matèria de seguretat pública;Vocal;Secretari general del Departament d'Interior i Seguretat Pública;secretari general d'Interior i Seguretat Pública;15650;;Secretaria General d'Interior i Seguretat Pública;Tomás Carrión Bernal;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretari general del Departament d'Interior i Seguretat Pública;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretari general del Departament d'Interior i Seguretat Pública;secretari general d'Interior i Seguretat Pública;15650;Govern de la Generalitat de Catalunya;Secretaria General d'Interior i Seguretat Pública;Tomás Carrión Bernal;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de l’Oficina del GovernDirectora de l'Oficina Govern;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de l’Oficina del Govern;Vocal;Directora de l'Oficina Govern;directora de l'Oficina del Govern;542;;Oficina del Govern;Trinidad Molina Melero;
Agència de l'Habitatge de CatalunyaPersones que determini el Govern en representació de la Generalitat i entitats relacionadesSecretari de Governs Locals i Relacions amb l'Aran;Agència de l'Habitatge de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Persones que determini el Govern en representació de la Generalitat i entitats relacionades;Vocal;Secretari de Governs Locals i Relacions amb l'Aran;Secretari de Governs Locals i Relacions amb Aran;19033;Govern de la Generalitat de Catalunya;Secretaria de Governs Locals i Relacions amb Aran;Xavier Amor Martín;
Agència Catalana de l'Aigua (ACA)Representant del departament competent en administracions localsSecretari de Governs Locals i de Relacions amb l'Aran;Agència Catalana de l'Aigua (ACA);TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament competent en administracions locals;Vocal;Secretari de Governs Locals i de Relacions amb l'Aran;Secretari de Governs Locals i Relacions amb Aran;19033;Conseller de Territori i Sostenibilitat;Secretaria de Governs Locals i Relacions amb Aran;Xavier Amor Martín;
Fundació Mediterrània, Fira d'Espectacles d'Arrel TradicionalMembre designat per la Generalitat a través del Departament de CulturaCap del Serveis Territorials de Cultura a la Catalunya Central;Fundació Mediterrània, Fira d'Espectacles d'Arrel Tradicional;CLT - Departament de Cultura;Membre designat per la Generalitat a través del Departament de Cultura;Membre;Cap del Serveis Territorials de Cultura a la Catalunya Central;director del Serveis Territorials a la Catalunya Central;15720;Conseller/a de Cultura;Serveis Territorials a la Catalunya Central del Departament de Cultura;Xavier Cano Caballero;
Consorci per a la Normalització LingüísticaVocal, fins a un màxim de 10, designat per l’Administració de la GeneralitatCap del Serveis Territorials a la Catalunya Central;Consorci per a la Normalització Lingüística;PLG - Departament de Política Lingüística;Vocal, fins a un màxim de 10, designat per l’Administració de la Generalitat;Vocal;Cap del Serveis Territorials a la Catalunya Central;director del Serveis Territorials a la Catalunya Central;15720;Conseller/a de Cultura;Serveis Territorials a la Catalunya Central del Departament de Cultura;Xavier Cano Caballero;
Institució de les Lletres CatalanesVocal representant del departament de la Generalitat competent en matèria de culturaDirector general de Promoció Cultural i Biblioteques;Institució de les Lletres Catalanes;CLT - Departament de Cultura;Vocal representant del departament de la Generalitat competent en matèria de cultura;Vocal;Director general de Promoció Cultural i Biblioteques;director general;2340;Conseller/a de Cultura;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
Biblioteca de CatalunyaVocals proposats pel/per la director/a general competent en matèria de patrimoni culturalDirector general de Promoció Cultural i Biblioteques;Biblioteca de Catalunya;CLT - Departament de Cultura;Vocals proposats pel/per la director/a general competent en matèria de patrimoni cultural;Vocal;Director general de Promoció Cultural i Biblioteques;director general;2340;Conseller/a de Cultura;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la unitat directiva competent en matèria de promoció culturalDirector general de Promoció Cultural i Biblioteques;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la unitat directiva competent en matèria de promoció cultural;Vocal;Director general de Promoció Cultural i Biblioteques;director general;2340;;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
Consorci de l'Auditori i l'OrquestraVocal designat/da pe la persona titular del Departament de CulturaDirector general de Promoció Cultural i Biblioteques;Consorci de l'Auditori i l'Orquestra;CLT - Departament de Cultura;Vocal designat/da pe la persona titular del Departament de Cultura;Vocal;Director general de Promoció Cultural i Biblioteques;director general;2340;Conseller/a de Cultura;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
Consorci Mercat de les FlorsVocal nomenat pel departament de la Generalitat competent en matèria de culturaDirector general de Promoció Cultural i Biblioteques;Consorci Mercat de les Flors;CLT - Departament de Cultura;Vocal nomenat pel departament de la Generalitat competent en matèria de cultura;Vocal;Director general de Promoció Cultural i Biblioteques;director general;2340;Conseller/a de Cultura;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
Fundació Mediterrània, Fira d'Espectacles d'Arrel TradicionalMembre designat per la Generalitat a través del Departament de CulturaDirector general de Promoció Cultural i Biblioteques;Fundació Mediterrània, Fira d'Espectacles d'Arrel Tradicional;CLT - Departament de Cultura;Membre designat per la Generalitat a través del Departament de Cultura;Membre;Director general de Promoció Cultural i Biblioteques;director general;2340;Conseller/a de Cultura;Direcció General de Drets Culturals, Creació i Biblioteques;Xavier Fina Ribó;
